Unit,Indicator,Q1,Q2,Q3,Q4,Note
CNH Ha Noi,Capital Source (Billion VND),1250.5,1380.2,1420.8,1560.3,Strong growth in deposits
CNH Ha Noi,Debt Balance (Billion VND),980.4,1050.7,1120.9,1200.2,Increased lending portfolio
CNH Ha Noi,Profit (Billion VND),45.2,52.1,48.7,58.9,Seasonal variations noted
CNH Ha Noi,Service Fee Revenue (Million VND),180.5,195.3,210.8,225.4,Digital services growth
CNH Ha Noi,Card Issuance (Count),1250,1380,1450,1620,Strong customer acquisition
CNH Ha Noi,Debt Collection Rate (%),92.3,94.1,91.8,95.2,Improved collection processes
CNH Ho Chi Minh,Capital Source (Billion VND),2100.8,2250.6,2380.4,2520.9,Leading branch performance
CNH Ho Chi Minh,Debt Balance (Billion VND),1650.3,1780.2,1890.7,1950.5,Corporate lending focus
CNH Ho Chi Minh,Profit (Billion VND),78.5,85.2,82.1,92.8,Consistent profitability
CNH Ho Chi Minh,Service Fee Revenue (Million VND),320.8,345.2,380.5,420.3,Premium services growth
CNH Ho Chi Minh,Card Issuance (Count),2180,2350,2520,2780,High-value customer segment
CNH Ho Chi Minh,Debt Collection Rate (%),94.8,96.2,93.5,97.1,Best practice implementation
CNH Da Nang,Capital Source (Billion VND),850.4,920.8,980.2,1050.6,Regional market expansion
CNH Da Nang,Debt Balance (Billion VND),680.2,750.5,820.8,890.3,SME lending growth
CNH Da Nang,Profit (Billion VND),32.1,38.5,35.8,41.2,Market development costs
CNH Da Nang,Service Fee Revenue (Million VND),125.8,140.2,155.7,170.5,Digital transformation impact
CNH Da Nang,Card Issuance (Count),890,980,1080,1200,Tourism sector recovery
CNH Da Nang,Debt Collection Rate (%),89.5,91.2,88.8,92.6,Process optimization needed
